exp,mean_gen,std_gen,mean_true,std_true
cyclegan_c_ptau_lp_mid_120_120,1.0365317841343595,0.08776147834849057,1.062711554624086,0.15038232951376382
pix2pix_ptau_lp_mid_100_120,1.3235521010846436,0.19437379180949693,1.0627115546240857,0.15038232951376382
cyclegan_c_ptau_lp_mid_100_120,1.0124901228986243,0.09410560834564138,1.062711554624086,0.15038232951376382
pix2pix_c_ptau_lp_mid_100_120,1.0086095947927112,0.10566647983803537,1.062711554624086,0.15038232951376385
pix2pix_ptau_lp_mid_120_120,1.4576001897984918,0.2426004127536425,1.062711554624086,0.15038232951376385
sharegan_c_ptau_lp_mid_120_120,1.2165884528154849,0.1825619175534733,1.062711554624086,0.15038232951376382
sharegan_ptau_lp_mid_120_120,1.2527478781307062,0.16434409347637732,1.062711554624086,0.15038232951376385
sharegan_c_ptau_lp_mid_100_120,1.1109548547855765,0.1516251815973327,1.062711554624086,0.15038232951376385
pix2pix_c_ptau_lp_mid_120_120,1.091938237756385,0.06896083199032435,1.062711554624086,0.15038232951376385
cyclegan_c_ptau_lp_mid_80_120,0.9324871236795336,0.09066462533766212,1.0627115546240857,0.15038232951376382
cyclegan_ptau_lp_mid_80_120,1.248763720034656,0.18957807431509982,1.062711554624086,0.15038232951376382
pix2pix_c_ptau_lp_mid_80_120,1.0662818677991666,0.0798122299512794,1.062711554624086,0.15038232951376385
cyclegan_ptau_lp_mid_120_120,1.2015478794302847,0.14213317123849667,1.062711554624086,0.15038232951376385
sharegan_c_ptau_lp_mid_60_120,1.1340612273940582,0.1459236055065627,1.062711554624086,0.15038232951376385
sharegan_ptau_lp_mid_100_120,1.154848654635546,0.13337048640524246,1.0627115546240857,0.15038232951376382
cyclegan_ptau_lp_mid_60_120,1.1319518884529498,0.153808002332236,1.062711554624086,0.15038232951376385
sharegan_ptau_lp_mid_60_120,1.4707744045349986,0.2734702603111511,1.062711554624086,0.15038232951376385
sharegan_c_ptau_lp_mid_80_120,1.1655563363709733,0.14150164635400475,1.062711554624086,0.15038232951376385
cyclegan_ptau_lp_mid_100_120,1.1731052684186007,0.12124221393353808,1.062711554624086,0.15038232951376385
pix2pix_c_ptau_lp_mid_60_120,1.181542158844266,0.100735893442732,1.062711554624086,0.15038232951376385
sharegan_ptau_lp_mid_80_120,1.228722534749835,0.1441155866076222,1.0627115546240857,0.15038232951376382
pix2pix_ptau_lp_mid_80_120,1.3077350872929046,0.2038731931451882,1.062711554624086,0.15038232951376385
pix2pix_ptau_lp_mid_60_120,1.1274825288458938,0.26294927421818354,1.062711554624086,0.15038232951376385
cyclegan_c_ptau_lp_mid_60_120,0.9319995938524634,0.07414942949518656,1.062711554624086,0.15038232951376385
